category,subcategory,tags,attribute,attribute_description,tablename,geography,region,vintage,source,vartype,last_updated,notes
key,key,"tract, economic, poverty, North Carolina, economic, poverty, federal poverty level, fpl",state_fips,"FIPS code for state",poverty_demographics,tract,"North Carolina","2010 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",CHAR(2),2021-03-17,
key,key,"tract, economic, poverty, North Carolina, economic, poverty, federal poverty level, fpl",county_fips,"FIPS code for county",poverty_demographics,tract,"North Carolina","2010 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",CHAR(3),2021-03-17,
key,key,"tract, economic, poverty, North Carolina, economic, poverty, federal poverty level, fpl",tract_fips,"FIPS code for census tract",poverty_demographics,tract,"North Carolina","2010 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",CHAR(6),2021-03-17,
key,key,"tract, economic, poverty, North Carolina, economic, poverty, federal poverty level, fpl",race,"Race and/or ethnicity",poverty_demographics,tract,"North Carolina","2010 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",VARCHAR(20),2021-03-17,
key,key,"tract, economic, poverty, North Carolina, economic, poverty, federal poverty level, fpl",gender,Gender,poverty_demographics,tract,"North Carolina","2010 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",VARCHAR(3),2021-03-17,
key,key,"tract, economic, poverty, North Carolina, economic, poverty, federal poverty level, fpl",age,Age,poverty_demographics,tract,"North Carolina","2010 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",VARCHAR(8),2021-03-17,
key,key,"tract, economic, poverty, North Carolina, economic, poverty, federal poverty level, fpl",year,Year,poverty_demographics,tract,"North Carolina","2010 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",SMALLINT(4),2021-03-17,
economic,poverty,"tract, economic, poverty, North Carolina, economic, poverty, federal poverty level, fpl",tot_ct,Total,poverty_demographics,tract,"North Carolina","2010 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",INT,2021-03-17,
economic,poverty,"tract, economic, poverty, North Carolina, economic, poverty, federal poverty level, fpl",lt_fpl_ct,"Less than federal poverty level",poverty_demographics,tract,"North Carolina","2010 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",INT,2021-03-17,
economic,poverty,"tract, economic, poverty, North Carolina, economic, poverty, federal poverty level, fpl",gte_fpl_ct,"Above or at federal poverty level",poverty_demographics,tract,"North Carolina","2010 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",INT,2021-03-17,
key,key,"education, school, schooldigger, district, magnet, charter, tract",state_fips,"FIPS code for state",schools_schooldigger,school,"North Carolina","2007 - 2019","schooldigger.com, National Center for Education Statistics, U.S. Department of Education, the U.S. Census Bureau and the North Carolina Dept of Public Instruction",CHAR(2),2021-03-17,
key,key,"education, school, schooldigger, district, magnet, charter, tract",county_fips,"FIPS code for county",schools_schooldigger,school,"North Carolina","2007 - 2019","schooldigger.com, National Center for Education Statistics, U.S. Department of Education, the U.S. Census Bureau and the North Carolina Dept of Public Instruction",CHAR(3),2021-03-17,
key,key,"education, school, schooldigger, district, magnet, charter, tract",tract_fips,"FIPS code for census tract",schools_schooldigger,school,"North Carolina","2007 - 2019","schooldigger.com, National Center for Education Statistics, U.S. Department of Education, the U.S. Census Bureau and the North Carolina Dept of Public Instruction",CHAR(6),2021-03-17,
key,key,"education, school, schooldigger, district, magnet, charter, tract",year,"School year ending",schools_schooldigger,school,"North Carolina","2007 - 2019","schooldigger.com, National Center for Education Statistics, U.S. Department of Education, the U.S. Census Bureau and the North Carolina Dept of Public Instruction",SMALLINT,2021-03-17,
key,key,"education, school, schooldigger, district, magnet, charter, tract",school_name,"School name",schools_schooldigger,school,"North Carolina","2007 - 2019","schooldigger.com, National Center for Education Statistics, U.S. Department of Education, the U.S. Census Bureau and the North Carolina Dept of Public Instruction",VARCHAR(60),2021-03-17,
education,"school metadata","education, school, schooldigger, district, magnet, charter, tract",district,"School district",schools_schooldigger,school,"North Carolina","2007 - 2019","schooldigger.com, National Center for Education Statistics, U.S. Department of Education, the U.S. Census Bureau and the North Carolina Dept of Public Instruction",VARCHAR(60),2021-03-17,
education,"school metadata","education, school, schooldigger, district, magnet, charter, tract",school_address,"School address",schools_schooldigger,school,"North Carolina","2007 - 2019","schooldigger.com, National Center for Education Statistics, U.S. Department of Education, the U.S. Census Bureau and the North Carolina Dept of Public Instruction",VARCHAR(60),2021-03-17,
key,key,"education, school, schooldigger, district, magnet, charter, tract",city,City,schools_schooldigger,school,"North Carolina","2007 - 2019","schooldigger.com, National Center for Education Statistics, U.S. Department of Education, the U.S. Census Bureau and the North Carolina Dept of Public Instruction",VARCHAR(30),2021-03-17,
key,key,"education, school, schooldigger, district, magnet, charter, tract",zip,"Zip code",schools_schooldigger,school,"North Carolina","2007 - 2019","schooldigger.com, National Center for Education Statistics, U.S. Department of Education, the U.S. Census Bureau and the North Carolina Dept of Public Instruction",CHAR(5),2021-03-17,
education,"school metadata","education, school, schooldigger, district, magnet, charter, tract",latitude,Latitude,schools_schooldigger,school,"North Carolina","2007 - 2019","schooldigger.com, National Center for Education Statistics, U.S. Department of Education, the U.S. Census Bureau and the North Carolina Dept of Public Instruction","DECIMAL(7,5)",2021-03-17,
education,"school metadata","education, school, schooldigger, district, magnet, charter, tract",longitude,Longitude,schools_schooldigger,school,"North Carolina","2007 - 2019","schooldigger.com, National Center for Education Statistics, U.S. Department of Education, the U.S. Census Bureau and the North Carolina Dept of Public Instruction","DECIMAL(8,5)",2021-03-17,
education,"school metadata","education, school, schooldigger, district, magnet, charter, tract",low_grade,"Lowest grade level of students enrolled",schools_schooldigger,school,"North Carolina","2007 - 2019","schooldigger.com, National Center for Education Statistics, U.S. Department of Education, the U.S. Census Bureau and the North Carolina Dept of Public Instruction",VARCHAR(2),2021-03-17,
education,"school metadata","education, school, schooldigger, district, magnet, charter, tract",high_grade,"Highest grade level of students enrolled",schools_schooldigger,school,"North Carolina","2007 - 2019","schooldigger.com, National Center for Education Statistics, U.S. Department of Education, the U.S. Census Bureau and the North Carolina Dept of Public Instruction",VARCHAR(2),2021-03-17,
education,"school metadata","education, school, schooldigger, district, magnet, charter, tract",is_title_i,"Title I school designation (1 if true)",schools_schooldigger,school,"North Carolina","2007 - 2019","schooldigger.com, National Center for Education Statistics, U.S. Department of Education, the U.S. Census Bureau and the North Carolina Dept of Public Instruction",BOOLEAN,2021-03-17,
education,"school metadata","education, school, schooldigger, district, magnet, charter, tract",is_charter,"Charter school designation (1 if true)",schools_schooldigger,school,"North Carolina","2007 - 2019","schooldigger.com, National Center for Education Statistics, U.S. Department of Education, the U.S. Census Bureau and the North Carolina Dept of Public Instruction",BOOLEAN,2021-03-17,
education,"school metadata","education, school, schooldigger, district, magnet, charter, tract",is_magnet,"Magnet school designation (1 if true)",schools_schooldigger,school,"North Carolina","2007 - 2019","schooldigger.com, National Center for Education Statistics, U.S. Department of Education, the U.S. Census Bureau and the North Carolina Dept of Public Instruction",BOOLEAN,2021-03-17,
education,"school metadata","education, school, schooldigger, district, magnet, charter, tract",is_virtual,"Virtual school designation (1 if true)",schools_schooldigger,school,"North Carolina","2007 - 2019","schooldigger.com, National Center for Education Statistics, U.S. Department of Education, the U.S. Census Bureau and the North Carolina Dept of Public Instruction",BOOLEAN,2021-03-17,
key,key,"bus, stops, transit, transportation, public, access",state_fips,"FIPS code for state",bus_stops,tract,"Cape Fear",2020,"Cape Fear Public Transportation Authority (WAVE)",CHAR(2),2021-03-18,
key,key,"bus, stops, transit, transportation, public, access",county_fips,"FIPS code for county",bus_stops,tract,"Cape Fear",2020,"Cape Fear Public Transportation Authority (WAVE)",CHAR(3),2021-03-18,
key,key,"bus, stops, transit, transportation, public, access",tract_fips,"FIPS code for census tract",bus_stops,tract,"Cape Fear",2020,"Cape Fear Public Transportation Authority (WAVE)",CHAR(6),2021-03-18,
transportation,"public transit","bus, stops, transit, transportation, public, access",bus_stop_id,"Bus stop ID code",bus_stops,tract,"Cape Fear",2020,"Cape Fear Public Transportation Authority (WAVE)",CHAR(5),2021-03-18,
transportation,"public transit","bus, stops, transit, transportation, public, access",bus_stop_description,"Bus stop description",bus_stops,tract,"Cape Fear",2020,"Cape Fear Public Transportation Authority (WAVE)",TEXT,2021-03-18,
transportation,"public transit","bus, stops, transit, transportation, public, access",latitude,Latitude,bus_stops,tract,"Cape Fear",2020,"Cape Fear Public Transportation Authority (WAVE)","DECIMAL(7,5)",2021-03-18,
transportation,"public transit","bus, stops, transit, transportation, public, access",longitude,Longitude,bus_stops,tract,"Cape Fear",2020,"Cape Fear Public Transportation Authority (WAVE)","DECIMAL(8,5)",2021-03-18,
key,key,"housing, affordability, tract, hpi, fhfa",state_fips,"FIPS code for state",housing_price_index_fhfa,tract,"North Carolina","1975 - 2020","Federal Housing Finance Agency",CHAR(2),2021-03-18,
key,key,"housing, affordability, tract, hpi, fhfa",county_fips,"FIPS code for county",housing_price_index_fhfa,tract,"North Carolina","1975 - 2020","Federal Housing Finance Agency",CHAR(3),2021-03-18,
key,key,"housing, affordability, tract, hpi, fhfa",tract_fips,"FIPS code for census tract",housing_price_index_fhfa,tract,"North Carolina","1975 - 2020","Federal Housing Finance Agency",CHAR(6),2021-03-18,
key,key,"housing, affordability, tract, hpi, fhfa",year,Year,housing_price_index_fhfa,tract,"North Carolina","1975 - 2020","Federal Housing Finance Agency",SMALLINT(4),2021-03-18,
housing,affordability,"housing, affordability, tract, hpi, fhfa",hpi,"House Price Index",housing_price_index_fhfa,tract,"North Carolina","1975 - 2020","Federal Housing Finance Agency","DECIMAL(5,2)",2021-03-18,
housing,affordability,"housing, affordability, tract, hpi, fhfa",hpi_1990,"House Price Index (base 1990)",housing_price_index_fhfa,tract,"North Carolina","1975 - 2020","Federal Housing Finance Agency","DECIMAL(5,2)",2021-03-18,
housing,affordability,"housing, affordability, tract, hpi, fhfa",hpi_2000,"House Price Index (base 2000)",housing_price_index_fhfa,tract,"North Carolina","1975 - 2020","Federal Housing Finance Agency","DECIMAL(5,2)",2021-03-18,
housing,affordability,"housing, affordability, tract, hpi, fhfa",hpi_yoy_pct,"Percent change in HPI from previous year",housing_price_index_fhfa,tract,"North Carolina","1975 - 2020","Federal Housing Finance Agency","DECIMAL(5,4)",2021-03-18,
